Aranyálom vekni 30 dkg IR;1;600;;;;
Aranyálom stangli sima 10 dkg IR;1;420;;;;
Aranyálom stangli magos 10 dkg IR;1;600;;;;
Arany mákos búrkifli  10 dkg IR;1;700;;;;
Arany diós búrkifli 10 dkg IR;1;845;;;;
Arany kakaós csiga 8 dkg IR;1;400;;;;
Arany szatmári szilvalekváros7,5 dkg IR;1;525;;;;
Babka 20 dkg;1;1620;;;;
Bagett 30 dkg;1;1050;;;;
Bagett Növényi sajtos 30 dkg;1;1100;;;;
Briós 10 dkg;1;720;;;;
Búzamentes pita;1;610;;;;
Búzamentes hot-dog kifli 10 dkg;1;535;;;;
Diós aprósütemény ;2;3800;;;;
Félkész leveles tészta 25-28 dkg;1;1470;;;;
Fitt zsemle 7 dkg;1;300;;;;
Fitt vekni 40 dkg;1;1800;;;;
Élesztőmentes stangli 9 dkg;1;450;;;;
Élesztőmentes vekni 25 dkg;1;1300;;;;
Élesztőmentes zsemle 9 dkg;1;370;;;;
Élesztőmentes szilvás, pizzás 7,5 dkg;1;500;;;;
Fonott édes 25 dkg;1;1300;;;;
Fonott sós 25dkg;1;1300;;;;
Gyökér kenyér (lassú felszívódású) élesztőment.;1;1680;;;;
Hagymás kenyér 40 dkg;1;2350;;;;
Hagymás bagett 24 dkg;1;1220;;;;
Hagymás stangli 10 dkg ;1;590;;;;
Hamburger zsemle 10kg;1;500;;;;
Hot-dog kifli 8 dkg;1;530;;;;
Ischler 12 dkg;1;670;;;;
Kelt mini kakaós 5 dkg;1;380;;;;
Kelt mini diós 5 dkg ;1;510;;;;
Kelt kakaós, fahéjas, pizzás 10 dkg;1;800;;;;
Kelt diós 10 dkg ;1;990;;;;
Kicsi Kredenc 20 dkg;1;1000;;;;
Kifli/Gubarúd 8 dkg;1;325;;;;
Kornspitz 10 dkg;1;460;;;;
Kredenc kenyér 40 dkg;1;1850;;;;
Kuglóf vaníliás 20dkg;1;670;;;;
Kuglóf mazsolás 20dkg;1;670;;;;
Kuglóf csokis 20dkg;1;670;;;;
Kuglóf gyümölcsös 20dkg;1;670;;;;
Linzer lekváros 7 dkg;1;350;;;;
Mákos aprósütemény;2;3325;;;;
Perec sós 7 dkg;1;350;;;;
Perec növényi sajtos 7dkg ;1;400;;;;
Paradicsomos stangli 12 dkg;1;480;;;;
Fokhagymás stangli 12 dkg;1;480;;;;
Olivás stangli 12 dkg;1;480;;;;
Hot-dog, 12 dkg;1;480;;;;
Pékkrémes 13 dkg;1;650;;;;
Pizza lap 25 dkg;1;1200;;;;
Pizza lap kicsi 12 dkg;1;725;;;;
Pogácsa növényi sajtos 6,5 dkg;1;450;;;;
Rizskovászos Pityu buci 30 dkg;1;1430;;;;
szatmári szilvalekvárral töltött, töpörtyűs hájas tészta 10 dkg;1;665;;;;
Teljes kiőrlésű kovászos kenyér;1;2000;;;;
Teljes kiőrlésű kovászos cipó;1;1050;;;;
Teljes kiőrlésű kovászos stangli ;1;540;;;;
Tepertős pogácsa 4,5 dkg;1;200;;;;
Tündér kenyér 40 dkg;1;2050;;;;
Zsemle 8 dkg;1;275;;;;
Fahéjas, Túrós, Vajas 10 dkg;1;550;;;;
Kakaós 10 dkg;1;595;;;;
Sajtos croissant,10dkg;1;605;;;;
Vajas croissant 10 dkg;1;675;;;;
Bolognais táska 10 dkg;1;780;;;;
Spenótos;1;590;;;;
Köles „túrós”;1;630;;;;
Baracklekváros levél 10 dkg;1;550;;;;
Diós csiga 10 dkg;1;750;;;;
Meggyes rácsos 10 dkg;1;780;;;;
puncsos, csokis 10 dkg;1;740;;;;
Baconos csavart 10 dkg;1;760;;;;
Pizzás csiga 10 dkg;1;725;;;;
Vaníliás szív 10 dkg;1;670;;;;
Virslis táska 15dkg;1;1140;;;;
